ID;Fichier_UI;Ligne;Label_Type;Callback;Fonction_backend;Fichier_backend;Ligne_backend;Statut;Note
OPT_DETECTION_THRESHOLD;src/ui/widgets.py;428;slider 0.1-1.0;-;aucun lecteur (FaceDetector ne lit pas detection.threshold);-;-;Partiel;Stocke ignore
OPT_MULTI_FACE;src/ui/widgets.py;433;dropdown Premier/Plus grand/Manuel;-;DetectionConfig.multi_face est bool;src/utils/config_manager.py;74;Casse;TYPE MISMATCH UI string config bool stockage casse
OPT_RETRY_DETECTION;src/ui/widgets.py;438;slider 1-5 int;-;DetectionConfig.retry est bool;src/utils/config_manager.py;75;Casse;TYPE MISMATCH UI int config bool stockage casse
OPT_CONTINUE_ON_ERROR;src/ui/widgets.py;448;checkbox;-;workflow.continue_on_error;src/ui/main_window.py;601;OK;-
OPT_DEBUG_MODE;src/ui/widgets.py;453;checkbox;-;workflow.debug_mode stocke non consomme runtime;-;-;Partiel;ENV var MORPHOLAPSE_DEBUG decouple de la config
OPT_PARALLEL_PROCESSING;src/ui/widgets.py;458;checkbox;-;aucun parallelisme effectif;-;-;Partiel;Stocke ignore pas de threadpool
OPT_NUM_THREADS;src/ui/widgets.py;463;slider 0-16;-;aucun lecteur;-;-;Partiel;Stocke ignore
OPT_AUTO_BACKUP;src/ui/widgets.py;468;checkbox;-;aucun lecteur;-;-;Partiel;Stocke ignore
OPT_EXPORT_FRAMES;src/ui/widgets.py;480;checkbox;-;step_export ne lit pas export_frames;src/modules/step_export.py;-;Partiel;Stocke ignore
OPT_EXPORT_LANDMARKS;src/ui/widgets.py;485;checkbox;-;aucun lecteur;-;-;Partiel;Stocke ignore
OPT_CREATE_GIF;src/ui/widgets.py;490;checkbox;-;step_morph.create_gif_from_video;src/modules/step_morph.py;316;OK;-
OPT_THUMBNAIL;src/ui/widgets.py;495;checkbox default true;-;step_morph.create_thumbnail;src/modules/step_morph.py;363;OK;-
LOG_LEVEL_FILTER;src/ui/widgets.py;280;OptionMenu DEBUG/INFO/WARNING/ERROR;(filtre dans log());LogViewer.log filtrage par level;src/ui/widgets.py;301;OK;-
LOG_BTN_CLEAR;src/ui/widgets.py;270;bouton Effacer;LogViewer.clear;textbox.delete;src/ui/widgets.py;320;OK;-
LOG_BTN_EXPORT;src/ui/widgets.py;275;bouton Export;LogViewer._export_logs;filedialog.asksaveasfilename + open;src/ui/widgets.py;326;Partiel;Aucune validation chemin/erreur ecriture (silencieux si fail)
PREVIEW_FIRST;src/ui/main_window.py;262;ImagePreview;_update_previews;FileUtils.get_image_files + Image.open;src/ui/widgets.py;610;OK;Avec try/except Exception silencieux mineur
PREVIEW_LAST;src/ui/main_window.py;270;ImagePreview;idem;idem;idem;610;OK;-
STATS_LABEL;src/ui/main_window.py;246;CTkLabel X images Ref Sortie;_update_previews;calcul direct;src/ui/main_window.py;506;OK;-
GLOBAL_PROGRESS_BAR;src/ui/main_window.py;292;CTkProgressBar;callbacks workflow;_on_progress;src/ui/main_window.py;638;OK;Mise a jour via after()
GLOBAL_PROGRESS_LABEL;src/ui/main_window.py;285;CTkLabel Pret/En cours;callbacks;idem;src/ui/main_window.py;617;OK;-
OPTIONS_PANEL_SECTIONS;src/ui/widgets.py;347;6x CollapsibleSection (Video Morphing Alignement Detection Workflow Export);_toggle;toggle pack/forget;src/ui/widgets.py;132;OK;Clic sur badge NEW ne toggle pas (mineur)
ORPHAN_export_manager;src/utils/export_manager.py;-;666 LOC openpyxl+reportlab;-;-;-;-;Orphelin;Aucun import 666 LOC dependance non declaree
ORPHAN_validators_class;src/utils/validators.py;44;InputValidator+WorkflowValidator+read_file_with_encoding_fallback;-;-;-;-;Orphelin;612 LOC jamais importes validation refaite ad-hoc dans step_import
